Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Auto Conditioning Electrical,"
        +65 6547 1181
    ",nil,nil,"
            1 Kaki Bukit Ave 3", 416087,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Moto-aire Service Centre,"
        +65 6456 1702
    ",nil,nil,"
            7 Sin Ming Industrial Est Sector C", 575642,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Arox Singapore,"
        +65 6741 0600
    ",nil,nil,"
            25 Kaki Bukit Vw", 415961,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Tong Soon Air Condition Co.,"
        +65 6455 0340
    ",nil,nil,"
            1 Sin Ming Industrial Est Sector C", 575636,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Liang Soon Air-conditioning & Engineering,"
        +65 6553 4932
    ",nil,nil,"
            29 Sin Ming Dr", 575703,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Jord Balcke-Duerr,"
        +65 6462 6255
    ",nil,nil,"
            170 Up Bt Timah Rd", 619101,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Amcrotech,"
        +65 6748 2182
    ",nil,nil,"
            2 Kaki Bukit View", 415942,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Technics Air Conditioning,"
        +65 6842 4133
    ",nil,nil,"
            44 Kaki Bukit Cres", 416268,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
A Precision Carcool,"
        +65 6455 5988
    ",nil,nil,"
            176 Sin Ming Dr", 575721,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Peng Yang Auto,"
        +65 6554 4346
    ",nil,nil,"
            176 Sin Ming Dr", 575721,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
