Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Heng Lee Electrical Contractor,"
        +65 6454 4868
    ",nil,nil,"
            448 Ang Mo Kio Ave 10", 560448,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
John Construction,"
        +65 6281 9920
    ",nil,nil,"
            212 Hougang St 21", 530212,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Kim Tiam Building Contractor,"
        +65 6288 3556
    ",nil,nil,"
            212 Hougang St 21", 530212,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Chasetech,"
        +65 6484 1838
    ",nil,nil,"
            Ang Mo Kio",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Lucky Crystal Construction,"
        +65 6382 8171
    ",nil,nil,"
            15 Hythe Rd", 557496,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Inner Space Vision,"
        +65 6836 1490
    ",nil,nil,"
            896 Dunearn Rd", 589472,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Southern Mark Electrical,"
        +65 6283 2685
    ",nil,nil,"
            2 Kovan Rd", 548008,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Calton Engineering,"
        +65 6288 8847
    ",nil,nil,"
            5 Simon Rd", 545893,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Aspect D’ Interior,"
        +65 6382 2706
    ",nil,nil,"
            7a Simon Rd", 545894,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Wang Kok Sewerage Construction,"
        +65 6280 7823
    ",nil,nil,"
            15 Simon Rd", 545900,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
