Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Mortazavy,"
        +65 6334 1234
    ",nil,nil,"
            328 North Bridge Rd", 188719,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Union Marketing & Industries,"
        +65 6338 7111
    ",nil,nil,"
            231 Bain St", 180231,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Umi Carpeting S,"
        +65 6338 7111
    ",nil,nil,"
            231 Bain St", 180231,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Goodrich Global,"
        +65 6884 5757
    ",nil,nil,"
            68 Orchard Rd", 238839,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Contrac-image Trading,"
        +65 6332 3055
    ",nil,nil,"
            9 Penang Rd", 238459,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Image-2,"
        +65 6332 3077
    ",nil,nil,"
            9 Penang Rd", 238459,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Vipin Co.,"
        +65 6294 4522
    ",nil,nil,"
            54 Arab St", 199751,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Amir & Sons,"
        +65 6734 9112
    ",nil,nil,"
            36 Kandahar St", 198893,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Godfrey Hirst S,"
        +65 6841 5529
    ",nil,nil,"
            200 Jln Sultan", 199018,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Exquisite Oriental Carpets,"
        +65 9379 1273
    ",nil,nil,"
            200 Jln Sultan", 199018,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
