Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
The Rail Mall,"
",4.5 star rating,"
            4 reviews
    ","
            400 Upper Bukit Timah Road", 678050,//s3-media3.fl.yelpassets.com/bphoto/7iWIUr_2SvTHgR-cUg5UqA/90s.jpg
Paragon Market Place,"
        +65 6738 2798
    ",4.5 star rating,"
            3 reviews
    ","
            290 Orchard Road", 238859,//s3-media4.fl.yelpassets.com/bphoto/Evt5WY42Ir6Yfprku9x6CQ/90s.jpg
Cold Storage,"
        +65 6468 5566
    ",3.0 star rating,"
            8 reviews
    ","
            211 Holland Ave", 278967,//s3-media3.fl.yelpassets.com/bphoto/Wey7AEXm6f6_lS9wI6oMsA/90s.jpg
The Orange Lantern Vietnamese Restaurant,"
        +65 6732 8032
    ",3.0 star rating,"
            9 reviews
    ","
            73 Killiney Road", 239528,//s3-media4.fl.yelpassets.com/bphoto/UapLpvgam-e4ZtjoFQSd4w/90s.jpg
Spizza,"
",4.0 star rating,"
            5 reviews
    ","
            217 East Coast Road", 428915,//s3-media4.fl.yelpassets.com/bphoto/TGakJ_p3zxAjcGwGIUBbPA/90s.jpg
Cocoa Colony,"
        +65 6235 8328
    ",5.0 star rating,"
            1 review
    ","
            1 Scotts Rd", 228208,//s3-media3.fl.yelpassets.com/bphoto/kUL9XkzjE79cJNF7F06AQg/90s.jpg
FairPrice,"
        +65 6587 0167
    ",4.5 star rating,"
            2 reviews
    ","
            2 Tampines Central 5", 529509,//s3-media2.fl.yelpassets.com/bphoto/f3UBD6DhC_pVbRx3lqISnQ/90s.jpg
Reload,"
",5.0 star rating,"
            1 review
    ","
            9 Raffles Blvd", 039596,//s3-media4.fl.yelpassets.com/bphoto/K8-IMvrv-8CLx01-0aHsTA/90s.jpg
Seow Khim Polythelene Co,"
        +65 6346 6121
    ",4.0 star rating,"
            1 review
    ","
            64 Onan Road", 424504,//s3-media1.fl.yelpassets.com/bphoto/bwBTe4DKE6_kk5vYQCLPhQ/90s.jpg
Gong Cha,"
        +65 6235 7511
    ",3.5 star rating,"
            4 reviews
    ","
            290 Orchard Road", 238859,//s3-media2.fl.yelpassets.com/bphoto/dISUrzf9LgzjShAyxefzIg/90s.jpg
