Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Choon Hock Motor,"
        +65 6453 0781
    ",nil,nil,"
            176 Sin Ming Dr", 575721,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Manpower Contact International,"
        +65 9083 8190
    ",nil,nil,"
            18 Sin Ming Ln", 573960,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Carewell Auto Service,"
        +65 6459 9926
    ",nil,nil,"
            176 Sin Ming Dr", 575721,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Patience Employment Agency,"
        +65 6458 3313
    ",nil,nil,"
            408 Ang Mo Kio Ave 10", 560408,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Andrew Cleaning Services,"
        +65 6285 1856
    ",nil,nil,"
            37 Defu Ln 10", 539214,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
E Home Services,"
        +65 8362 3499
    ",nil,nil,"
            61 Kaki Bukit Avenue 1", 417943,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Airverclean,"
        +65 6741 3935
    ",nil,nil,"
            61, Kaki Bukit Ave 1", 417943,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
F-j Marketing,"
        +65 6286 3191
    ",nil,nil,"
            30 Defu Ln 10", 539211,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
D’lux,"
",nil,nil,"
            848 Dunearn Rd", 589460,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Maid Agencies Singapore,"
        +65 6468 6770
    ",nil,nil,"
            182 Yio Chu Kang Rd", 545629,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
