Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Customized Curtain And Window Blinds,"
        +65 9610 4343
    ",nil,nil,"
            24 Sea Ave", 424244,//s3-media4.fl.yelpassets.com/bphoto/kvfglYd2_mzyP7w0iDlXQw/90s.jpg
West Home Interior,"
        +65 6565 0391
    ",nil,nil,"
            502 Jurong West Ave 1", 640502,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Curtain Blinds Singapore,"
        +65 8362 3788
    ",nil,nil,"
            4 Kaki Bukit Avenue 1", 417939,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Home Classic Interior Furnishing,"
        +65 6247 8707
    ",nil,nil,"
            34 Ean Kiam Pl", 429120,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
A & Best Aluminium Construction,"
        +65 6280 2013
    ",nil,nil,"
            3018 Bedok North St 5", 486132,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Sureglow Singapore,"
        +65 8186 8028
    ",nil,nil,"
            Blk 9010, Tampines Street 93", 528845,//s3-media3.fl.yelpassets.com/bphoto/Qa3TPzORoguoWFlhpvRzRg/90s.jpg
NaviGlare,"
        +65 6570 1890
    ",nil,nil,"
            50 Serangoon North Avenue 4",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
E-Curtains Trading,"
        +65 6565 2700
    ",nil,nil,"
            4014 Ang Mo Kio Industrial Park 1", 576147,//s3-media3.fl.yelpassets.com/bphoto/5tRqXou-he1txHNw7Z5ODA/90s.jpg
Singapore Curtains,"
        +65 9859 3623
    ",nil,nil,"
            Blk 61 Kaki Bukit Avenue 1", 417943,//s3-media4.fl.yelpassets.com/bphoto/rM17rqwMUqK6NxNdn3TbTw/90s.jpg
Nordic Asia,"
        +65 6786 6166
    ",nil,nil,"
            9005 Tampines St 93", 528839,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
