Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Nobu Next Door,"
",nil,nil,"
            105 Hudson St",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Oval Door Bed & Breakfast,"
",nil,nil,"
            988 Lawrence St",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
P D Door,"
        +65 6747 8727
    ",nil,nil,"
            1075 Eunos Ave 6", 409631,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Shing Avenue Doors,"
        +65 6841 2817
    ",nil,nil,"
            122 Eunos Ave 7", 409575,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Carpenter and Cook,"
        +65 6463 3648
    ",4.0 star rating,"
            23 reviews
    ","
            19 Lorong Kilat", 598120,//s3-media3.fl.yelpassets.com/bphoto/DvpYpExFUFB7GBCQQ1zn0Q/90s.jpg
Swift Doors,"
        +65 6560 0319
    ",nil,nil,"
            19 Mandai Estate", 729911,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Beng Shutter Door,"
        +65 6765 4468
    ",nil,nil,"
            10 Admiralty St", 757695,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Beng Shutter Doors International,"
        +65 6853 4567
    ",nil,nil,"
            10 Admiralty St", 757695,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Doctor Doors Gallery,"
        +65 6451 3168
    ",nil,nil,"
            10 Admiralty St", 757695,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Taylor B,"
        +65 9420 4040
    ",5.0 star rating,"
            4 reviews
    ","
            43 Keppel Road", 099418,//s3-media1.fl.yelpassets.com/bphoto/24kC41vrlohfWiyZ7RKsqg/90s.jpg
