Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Ideal Electric S Private Limted,"
        +65 6270 9773
    ",nil,nil,"
            1090 Lower Delta Rd", 169201,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Precept Electrical,"
        +65 6274 4666
    ",nil,nil,"
            35 Telok Blangah Rise", 090035,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Megaman S Electrical & Lighting,"
        +65 6396 5576
    ",nil,nil,"
            101 Kitchener Rd", 208511,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Eng Chai Electric S.E.,"
        +65 6345 3713
    ",nil,nil,"
            50 East Coast Rd", 428769,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
New Marine Electric Trading,"
        +65 6487 4660
    ",nil,nil,"
            153 Tyrwhitt Rd", 207566,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Panasonic Electric Works Asia Pacific,"
        +65 6255 5473
    ",nil,nil,"
            101 Thomson Rd", 307591,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Gracelite Electrical,"
        +65 6256 7737
    ",nil,nil,"
            429 Balestier Rd", 329811,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
iRepair,"
        +65 9004 5175
    ",nil,nil,"
            38 Prinsep Street", 188665,//s3-media4.fl.yelpassets.com/bphoto/PNJxV_NE3-ibICnvmtihwg/90s.jpg
Holly Lighting & Electrical,"
        +65 6748 3633
    ",nil,nil,"
            607 Geylang Rd", 389546,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Eighteen Electrical Supplies,"
        +65 6743 2063
    ",nil,nil,"
            113 Eunos Ave 3", 409838,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
