Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
K&L Gates Singapore,"
        +65 6507 8100
    ",nil,nil,"
            1 Raffles Quay", 048583,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Gates Underwriting Agency,"
        +65 6224 9075
    ",nil,nil,"
            3 Shenton Way", 068805,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Gates Insurance Brokers,"
        +65 6224 9075
    ",nil,nil,"
            3 Shenton Way", 068805,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Gates Engineering,"
        +65 6299 9937
    ",nil,nil,"
            514 Chai Chee Ln", 469029,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
IEP Doors & Gates Automation,"
        +65 6894 8277
    ",nil,nil,"
            38 Toh Guan Rd East", 608581,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Gates Unitta Asia,"
        +65 6347 1881
    ",nil,nil,"
            1 Changi South St 3", 486477,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Pinnacle at Duxton,"
",4.5 star rating,"
            4 reviews
    ","
            Blk 1G Cantonment Road, Level 1", 080001,//s3-media2.fl.yelpassets.com/bphoto/yQQioxKWySM-x4R1DOVenw/90s.jpg
Securevision Pte Ltd,"
        +65 6286 4796
    ",nil,nil,nil,nil,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Aluminium Wrought,"
        +65 8337 1277
    ",nil,nil,"
            61 Kaki Bukit Avenue 1", 417943,//s3-media3.fl.yelpassets.com/bphoto/pfSst5eO7-uQPLK_ZQXHeA/90s.jpg
U-gate Design & Renovation,"
        +65 6842 3221
    ",nil,nil,"
            655 Jln Tenaga", 410655,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
