Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Leong Ann Plumbing Service,"
        +65 6275 9072
    ",nil,nil,"
            9 Telok Blangah Cres", 090009,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
P K S Engineering Construction,"
        +65 6343 5634
    ",nil,nil,"
            809 French Rd", 200809,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Max General Contractor,"
        +65 6295 4148
    ",nil,nil,"
            01-02/06 Golden Mile Tower",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Buang Sheng General Contractor,"
        +65 6564 0953
    ",nil,nil,"
            531 Upper Cross St", 050531,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Jolly Renovation Works,"
        +65 6457 5958
    ",nil,nil,"
            190 Middle Rd", 188979,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Tay Hup Brothers Construction,"
",nil,nil,"
            18 Jln Laksamana 2",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Bitz Entertainment,"
        +65 6536 3321
    ",nil,nil,"
            531 Up Cross St",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Integrated Engineering & Construction Co,"
        +65 6732 0777
    ",nil,nil,"
            190 Middle Rd", 188979,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
La Cuisine Syndicate S.P.R.L. S,"
        +65 6299 9238
    ",nil,nil,"
            444 Race Course Rd", 218688,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Blastech Abrasives,"
        +65 6861 2553
    ",nil,nil,"
            Blastech Abrasives Pte Ltd",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
