Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Channel Resources,"
        +65 6280 1880
    ",nil,nil,"
            37 Defu Ln 10", 539214,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Innovative Security Systems LLC,"
        +65 6448 6122
    ",nil,nil,"
            512 Chai Chee Ln", 469028,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Globotron Singapore,"
        +65 6493 3610
    ",nil,nil,"
            61 Kaki Bukit Ave 1", 417943,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Securite Associates,"
        +65 6841 2733
    ",nil,nil,"
            99 Kaki Bukit Ave 1", 415984,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Invogue Biz,"
        +65 6748 2534
    ",nil,nil,"
            273 Kaki Bukit Ave 1", 416071,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
G2 Asset Protection,"
        +65 6262 3044
    ",nil,nil,"
            896 Dunearn Rd", 589472,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Ysh,"
        +65 6281 2001
    ",nil,nil,"
            1 Defu Ln 10", 539182,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Formula Services,"
        +65 6755 5198
    ",nil,nil,"
            32 Ang Mo Kio Industrial Park 2", 569510,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Impact Security,"
        +65 6463 7366
    ",nil,nil,"
            170 Upper Bukit Timah Rd", 588179,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Entratech,"
        +65 9368 1090
    ",nil,nil,"
            91 Sennett Terrace", 466759,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
