Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Emy Furniture Interior & Design,"
        +65 6365 0456
    ",nil,nil,"
            3 Sungei Kadut St 3", 729138,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
City Home Interior Design,"
        +65 6466 7155
    ",nil,nil,"
            5 Marsiling Industrial Estate Rd 3", 739251,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Lnn Interior Design,"
        +65 6368 3929
    ",nil,nil,"
            55 Sungei Kadut Dr", 729563,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Rainbow Interior Design,"
        +65 8184 3312
    ",nil,nil,"
            68 Sungei Kadut Street 1", 729370,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Singapore Changi Airport - SIN,"
        +65 6595 6868
    ",4.5 star rating,"
            131 reviews
    ","
            60 Airport Blvd", 819643,//s3-media2.fl.yelpassets.com/bphoto/yns-_p752aK2p5kOoLShKg/90s.jpg
Shop Wonderland,"
        +65 6299 5848
    ",4.0 star rating,"
            5 reviews
    ","
            37 Haji Lane", 189230,//s3-media2.fl.yelpassets.com/bphoto/dF6IcZsRPoKTnSjjt-nF7g/90s.jpg
Space,"
        +65 6415 0000
    ",4.5 star rating,"
            2 reviews
    ","
            77 Bencoolen Street", 189653,//s3-media1.fl.yelpassets.com/bphoto/xRxq_diHz_6HQJkoU6PT9Q/90s.jpg
Wanderlust Hotel,"
        +65 6396 3322
    ",4.0 star rating,"
            6 reviews
    ","
            2 Dickson Road", 209494,//s3-media2.fl.yelpassets.com/bphoto/9Ln35DOO21Dhy1omOaVC-Q/90s.jpg
Changi Airport Terminal 3,"
",4.5 star rating,"
            36 reviews
    ","
            65 Airport Boulevard", 819663,//s3-media3.fl.yelpassets.com/bphoto/6Of2k4H9YC0OhrNqGBEGUw/90s.jpg
Studio M Hotel,"
        +65 6808 8888
    ",4.0 star rating,"
            13 reviews
    ","
            3 Nanson Road", 238910,//s3-media1.fl.yelpassets.com/bphoto/MBGVhV1m2HWPzEmdVVP1Sg/90s.jpg
