Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Loh & Sons Paint,"
        +65 6264 1248
    ",nil,nil,"
            5 Neythal Rd", 628572,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Lee Kiong Painting,"
        +65 6758 7941
    ",nil,nil,"
            1018 Yishun Industrial Park A", 768760,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Asahi Spray Painting Industry,"
        +65 6262 0616
    ",nil,nil,"
            14 Kian Teck Way", 628737,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Okm Paints & Hardware,"
        +65 6368 4226
    ",nil,nil,"
            167 Woodlands St 11", 730167,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Tai Seng Paint,"
        +65 6897 8282
    ",nil,nil,"
            30 Joo Koon Circle", 629059,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Causeway Paints,"
        +65 6861 7979
    ",nil,nil,"
            35 Gul Ave", 629675,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Sparco Paints S,"
        +65 6265 1188
    ",nil,nil,"
            15 Tuas St", 638452,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Sun Hee Hardware Paint & Electrical,"
        +65 6777 1788
    ",4.5 star rating,"
            2 reviews
    ","
            354 Clementi Avenue 2", 120354,//s3-media3.fl.yelpassets.com/bphoto/ZhUGitHl8kdoVkhtIh0CMg/90s.jpg
Kid’s Painting Corner,"
",3.0 star rating,"
            1 review
    ","
            930 Yishun Avenue 2, #03-23 Northpoint Shopping Mall", 769098,//s3-media3.fl.yelpassets.com/bphoto/IiCQh-mippe9TJGN4lsnDg/90s.jpg
Selffix D.I.Y.,"
        +65 6782 0270
    ",4.0 star rating,"
            1 review
    ","
            2 Tampines Central 5", 529509,//s3-media4.fl.yelpassets.com/bphoto/ZUaAphI_voCrC_-TbDTBTA/90s.jpg
