Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Campaign Cleaning Services,"
        +65 6292 6322
    ",nil,nil,"
            130 Joo Seng Rd", 368357,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Kleenteam,"
        +65 6746 6887
    ",nil,nil,"
            23 Ubi Rd 4", 408620,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Ascend Exterminators,"
        +65 6565 6232
    ",nil,nil,"
            35 Kaki Bukit View", 415966,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Venture Fumigation,"
        +65 6464 8858
    ",nil,nil,"
            5 Ridgewood Close Unit G4", 276696,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Abj,"
        +65 6255 5333
    ",nil,nil,"
            04-11 Victory Bldg", 539226,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Macsham Vector Control,"
        +65 6287 5534
    ",nil,nil,"
            1301 Bedok Nth Ave 4", 489945,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Clean-Environ Pest Management,"
        +65 6569 2073
    ",nil,nil,"
            503 Jurong West Ave 1", 640503,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Jeyee Associates,"
        +65 6458 0554
    ",nil,nil,"
            34 Jln Leban", 577571,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Pestmasters,"
        +65 6454 0439
    ",nil,nil,"
            32 Ang Mo Kio Industrial Park 2", 569510,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
New Concept,"
        +65 6281 3833
    ",nil,nil,"
            806 Hougang Central", 530806,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
