Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Kang’s Brother Electrical,"
        +65 6747 1551
    ",nil,nil,"
            1084 Eunos Ave 7A", 409534,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Painters Corner,"
        +65 6779 3002
    ",nil,nil,"
            41 Holland Dr", 270041,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Alpha Mechanical & Electrical Engineering,"
        +65 6745 5823
    ",nil,nil,"
            1034 Eunos Ave 5", 409743,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
PlumberSG,"
        +65 9396 6247
    ",nil,nil,"
            126 Joo Seng Rd", 247964,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Teck Hien Engineering,"
        +65 6745 0777
    ",nil,nil,"
            3015 Ubi Rd 1", 408704,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Mainland Engineering,"
        +65 6848 1131
    ",nil,nil,"
            3015 Ubi Rd 1", 408704,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
X’treme Airconditioning & Engineering,"
        +65 6744 6997
    ",nil,nil,"
            3015 Ubi Rd 1", 408704,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Evar Air-conditioning & Engineering,"
        +65 6748 9106
    ",nil,nil,"
            70 Ubi Cres", 408570,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Fuco Contractors,"
        +65 6747 4044
    ",nil,nil,"
            53 Ubi Ave 1", 408934,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Alfon Plumbing Enterprises,"
        +65 6744 4717
    ",nil,nil,"
            3026 Ubi Rd 1", 408719,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
