Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
BlueScope Lysaght,"
        +65 6264 1577
    ",nil,nil,"
            18 Benoi Sector", 408898,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Ltc Audie,"
        +65 6368 8533
    ",nil,nil,"
            69 Sungei Kadut Dr", 729568,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Stramit R&D Systems,"
        +65 6865 1550
    ",nil,nil,"
            11, Benoi Pl", 629931,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Weng Soon Roofing Services,"
        +65 6756 8345
    ",nil,nil,"
            22 Woodlands Link", 738734,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Terreal,"
        +65 6846 8444
    ",nil,nil,"
            5 Gul Cres", 629521,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Ktn Industries,"
        +65 6755 9979
    ",nil,nil,"
            1 Senoko Way", 758058,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Pinnacle at Duxton,"
",4.5 star rating,"
            4 reviews
    ","
            Blk 1G Cantonment Road, Level 1", 080001,//s3-media2.fl.yelpassets.com/bphoto/yQQioxKWySM-x4R1DOVenw/90s.jpg
Wing Ngai Roofing,"
        +65 6742 8376
    ",nil,nil,"
            6b Lorong 32 Geylang", 398269,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
MVM Roofing,"
        +65 6488 3088
    ",nil,nil,"
            1008 Eunos Ave 7", 409579,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Hoon Roofing Contractor,"
        +65 6483 4018
    ",nil,nil,"
            5 Ang Mo Kio Industrial Park 2a", 567760,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
