Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Mimosa Technology,"
        +65 6766 1003
    ",nil,nil,"
            1 Jln Berseh", 209037,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Starzone Security Engineering,"
        +65 6275 8850
    ",nil,nil,"
            1093 Lower Delta Rd", 169204,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Vision Security Management,"
        +65 6296 4822
    ",nil,nil,"
            328 King George's Ave", 208568,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Garrison Security Management,"
        +65 6271 7039
    ",nil,nil,"
            211 Henderson Rd", 159552,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Leo Security Services,"
        +65 6271 1733
    ",nil,nil,"
            213 Henderson Rd", 159553,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Actus Guards,"
        +65 6341 7880
    ",nil,nil,"
            101 Kitchener Rd", 208511,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Safe & Secure Security Agency,"
        +65 6294 8459
    ",nil,nil,"
            101 Kitchener Rd", 208511,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Guardwell Security & Investigation Service,"
        +65 6291 4512
    ",nil,nil,"
            101 Kitchener Rd", 208511,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Phone Express,"
        +65 6481 1230
    ",nil,nil,"
            2A Winstedt Rd", 227980,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Jai’s Security Services,"
        +65 6293 3163
    ",nil,nil,"
            230 Jln Besar", 208906,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
