Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Perfectskin,"
        +65 6348 8773
    ",nil,nil,"
            20 Joo Chiat Rd", 427357,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Aquatic Technology,"
        +65 6842 1181
    ",nil,nil,"
            152 Ubi Ave 4", 408826,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Clear Water,"
        +65 6872 5202
    ",nil,nil,"
            63 Pandan Loop", 658080,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Jimmy & Ong Pool,"
        +65 6769 4663
    ",nil,nil,"
            760 Choa Chu Kang North 5", 680760,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Sands SkyPark Infinity Pool,"
        +65 6688 8888
    ",4.0 star rating,"
            9 reviews
    ","
            10 Bayfront Avenue", 018956,//s3-media4.fl.yelpassets.com/bphoto/ZnWnyo32BQpZDyEJP8nDUA/90s.jpg
Men’spool,"
        +65 6266 1211
    ",nil,nil,"
            13 Third Chin Bee Rd", 618689,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Orchard Grand Court,"
        +65 6733 1133
    ",4.0 star rating,"
            1 review
    ","
            131 Killiney Rd", 239571,//s3-media1.fl.yelpassets.com/bphoto/8R94MMPw0KOEeAX2oPrQHg/90s.jpg
Maplewoods,"
",4.0 star rating,"
            1 review
    ","
            985 Bukit Timah Road", 589627,//s3-media3.fl.yelpassets.com/bphoto/o1zu9Z9ZVOCE9Ym9BYpnnA/90s.jpg
Leedon 2,"
",3.0 star rating,"
            1 review
    ","
            2 Leedon Road", 267829,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Cmii Services,"
        +65 6759 4123
    ",nil,nil,"
            304 Orchard Rd", 238863,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
