Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
East Chem,"
        +65 6242 9909
    ",nil,nil,"
            15 Changi North St 1", 498765,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Top Clean System,"
        +65 6756 7337
    ",nil,nil,"
            666 Yishun Ave 4", 760666,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Parkett Supply,"
        +65 6898 1262
    ",nil,nil,"
            7 Link Rd", 619029,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Par Investments Jiangsu,"
        +65 6268 0796
    ",nil,nil,"
            52 International Rd", 619626,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
J C Parquet,"
        +65 6369 5892
    ",nil,nil,"
            331 Yishun Ring Rd", 760331,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Wellresource Interior Specialists Centre,"
        +65 6364 6113
    ",nil,nil,"
            17 Mandai Estate", 729934,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
The Parquet House,"
        +65 6757 7377
    ",nil,nil,"
            1 Yishun St 23", 768441,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Tien Seng Marble,"
        +65 6368 3338
    ",nil,nil,"
            38 Sungei Kadut St 1", 729343,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Greenflo Technical Wood,"
        +65 6269 7890
    ",nil,nil,"
            27 Sungei Kadut St 1", 729335,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Choon Bok Wood Industries,"
        +65 6269 7049
    ",nil,nil,"
            70 Sungei Kadut Loop", 729511,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
