Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Yung Decor,"
        +65 6482 1311
    ",nil,nil,"
            1 Kaki Bukit Rd 1", 415934,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Carbi Deco Leather Industry,"
        +65 6744 9223
    ",nil,nil,"
            44 Kaki Bukit Industrial Ter", 416113,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Peter Lau Enterprises,"
        +65 6344 7447
    ",nil,nil,"
            Marine Parade",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Wai Sun Furniture,"
        +65 6453 3647
    ",nil,nil,"
            30 Sin Ming Dr", 575704,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Weng Yau Auto,"
        +65 6453 8094
    ",nil,nil,"
            176 Sin Ming Dr", 575721,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Kitchen Cabinet Singapore,"
        +65 8362 3788
    ",nil,nil,"
            4 Kaki Bukit Avenue 1", 417939,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Lee Wei,"
        +65 6286 5293
    ",nil,nil,"
            30 Defu Ln 10", 539211,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Hot’seat Furnishing,"
        +65 8408 3888
    ",nil,nil,"
            30 Defu Ln 10", 539211,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Kim Heng Upholstery,"
        +65 6253 4100
    ",nil,nil,"
            354 Ang Mo Kio St 32", 560354,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Anthony Cushion,"
        +65 6482 3949
    ",nil,nil,"
            5 Ang Mo Kio Industrial Park 2a", 567760,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
