Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Global Technical,"
        +65 6296 8113
    ",nil,nil,"
            101 Kitchener Rd", 208511,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
P & E Technical Services,"
        +65 6295 5837
    ",nil,nil,"
            344 King George's Ave", 208576,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Chong Hup Engineering & Construction,"
        +65 6214 1305
    ",nil,nil,"
            342 King George's Ave", 208575,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Ever Freezing Refrigeration Service,"
        +65 6278 6898
    ",nil,nil,"
            221 Henderson Rd", 159557,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Zhen He Construction,"
        +65 6283 8003
    ",nil,nil,"
            190 Middle Rd", 188979,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
United Water Technologies,"
        +65 6837 0679
    ",nil,nil,"
            190 Middle Rd", 188979,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Fujicon-aire Engineering & Trading,"
        +65 6299 7581
    ",nil,nil,"
            51 Kampong Bugis", 338986,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Choo Kok Jee,"
        +65 6293 6503
    ",nil,nil,"
            109 Owen Rd", 218916,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Severn Trent Denora Llc Singapore Branch,"
        +65 6736 2734
    ",nil,nil,"
            15 Scotts Rd", 228218,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Yew Huat Electric & Sanitary,"
        +65 6744 7618
    ",nil,nil,"
            56 Lorong 6 Geylang", 399211,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
