Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Hong Jia Renovation Construction,"
        +65 6560 2172
    ",nil,nil,"
            2024 Bukit Batok St 23", 659529,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Um Sing Kee Renovation Works,"
        +65 6567 1033
    ",nil,nil,"
            2024 Bukit Batok St 23", 659529,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Yong Glass & Mirror Design,"
        +65 6566 5536
    ",nil,nil,"
            2024 Bukit Batok St 23", 659529,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Swift Electrical Supplier,"
        +65 6569 0061
    ",nil,nil,"
            2022 Bukit Batok St 23", 659527,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Spectrum Construction,"
        +65 6262 4655
    ",nil,nil,"
            2022 Bukit Batok St 23", 659527,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Kaka Renovation Contractor,"
        +65 6563 2553
    ",nil,nil,"
            2021 Bukit Batok St 23", 659526,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Cristo Engineering,"
        +65 6567 3393
    ",nil,nil,"
            2021 Bukit Batok St 23", 659526,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Mann Control & Engineering,"
        +65 6566 8716
    ",nil,nil,"
            2023 Bt Batok St 23", 659528,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Yaw Weng Fong Contractor,"
        +65 6563 1311
    ",nil,nil,"
            2 Jurong East St 21", 609601,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Green Button,"
        +65 8118 5733
    ",nil,nil,"
            313d Anchorvale Rd", 544313,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
