Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Decorille Pte Ltd,"
        +65 6749 6688
    ",nil,nil,"
            8 Kaki Bukit Avenue 4", 415875,//s3-media1.fl.yelpassets.com/bphoto/UB8omp56DNZY0gjYvQhgvw/90s.jpg
Tts Window Fashions,"
        +65 6846 8484
    ",nil,nil,"
            51 Ubi Ave 1", 408933,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Hoi Kee Window Contractor,"
        +65 6762 7161
    ",nil,nil,"
            44a Jln Lam Sam", 699392,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Sapphire Windows,"
        +65 6542 6616
    ",nil,nil,"
            2 Loyang Dr", 508935,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Smart Window Film,"
",nil,nil,"
            Woodlands",,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Window Cool,"
        +65 6288 8323
    ",4.0 star rating,"
            1 review
    ","
            50 Serangoon North Avenue 4", 555856,//s3-media4.fl.yelpassets.com/bphoto/vqkX6xF_EHwRiqcaXYtwAA/90s.jpg
Aluminium Wrought,"
        +65 8337 1277
    ",nil,nil,"
            61 Kaki Bukit Avenue 1", 417943,//s3-media3.fl.yelpassets.com/bphoto/pfSst5eO7-uQPLK_ZQXHeA/90s.jpg
Customized Curtain And Window Blinds,"
        +65 9610 4343
    ",nil,nil,"
            24 Sea Ave", 424244,//s3-media4.fl.yelpassets.com/bphoto/kvfglYd2_mzyP7w0iDlXQw/90s.jpg
OO Grille Window Grilles,"
",nil,nil,"
            Blk 3007 Ubi Road 3", 408700,//s3-media1.fl.yelpassets.com/bphoto/NUD6r5eNFfR3HLQEYlCgRQ/90s.jpg
Window Image & Interior Design,"
        +65 9789 4998
    ",4.0 star rating,"
            1 review
    ","
            1 Woodlands Square, #04-24 Causeway Point", 738099,//s3-media4.fl.yelpassets.com/bphoto/HlZCd0-PWUq3RW8KvNF5cw/90s.jpg
